Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Iran, Islamic Rep.",IRN,Population density (people per sq. km of land area),EN.POP.DNST,42.8315694147695,43.3180824676441,43.7980273336772,44.2794543087993,44.7732244161202,45.2875310051819,45.8231759129645,46.3787556177706,46.9571594341708,47.5611833542081,48.1913940666519,48.8494412927626,49.5309014219406
Iraq,IRQ,Population density (people per sq. km of land area),EN.POP.DNST,61.5549397535268,62.7572170016233,63.816100784233,64.9009900084597,66.7092512433229,68.4794068889298,70.7434610425493,73.4251496592374,76.3762056428309,79.2668300149446,81.9395670397835,84.3314214728393,86.5016316022141
Ireland,IRL,Population density (people per sq. km of land area),EN.POP.DNST,60.3848744375091,62.0349978226158,63.8545797648425,65.1697488750181,65.8350268544056,66.1947307301495,66.4840179997097,66.7663376397155,67.1188271156917,67.6112643344462,68.2531136594571,69.027943097692,69.7835389751778
Isle of Man,IMN,Population density (people per sq. km of land area),EN.POP.DNST,140.885964912281,142.605263157895,144.575438596491,146.505263157895,148.028070175439,148.871929824561,148.922807017544,148.30350877193,147.326315789474,146.470175438597,146.024561403509,146.117543859649,146.663157894737
Israel,ISR,Population density (people per sq. km of land area),EN.POP.DNST,320.244916820702,325.956561922366,331.797597042514,337.744916820702,345.914972273567,352.292051756007,358.863216266174,365.549907578558,372.435304990758,379.653419593346,387.250462107209,394.916820702403,402.647874306839
Italy,ITA,Population density (people per sq. km of land area),EN.POP.DNST,197.081267423676,197.674505337594,198.675154688244,199.995685727885,200.908971918134,201.527901679472,201.874784116407,202.419653906303,204.779859930645,206.667369279935,206.468287210172,206.117828245053,205.809169103148
Jamaica,JAM,Population density (people per sq. km of land area),EN.POP.DNST,253.001200369344,254.331209602955,255.60729455217,256.867590027701,258.156694367498,259.506925207756,260.935272391505,262.431394275162,263.962049861496,265.478855032318,266.945614035088,268.350692520776,269.700184672207
Japan,JPN,Population density (people per sq. km of land area),EN.POP.DNST,350.543209876543,350.765432098765,351.168724279835,351.338820301783,351.294924554184,351.30983404197,350.654908038568,350.090520078999,349.585802062761,349.122229536976,348.751920122888,348.350096006144,347.777586679833
Jordan,JOR,Population density (people per sq. km of land area),EN.POP.DNST,65.340378513146,67.9004986400725,70.8893925657298,74.3027878513146,77.6442892543366,81.7925095742284,86.3159608019824,91.1339490876323,95.9722910565443,100.473631448524,104.3768303672,107.585796350529,110.150630772697
Kazakhstan,KAZ,Population density (people per sq. km of land area),EN.POP.DNST,5.61063414453458,5.67029077304886,5.73552320628218,5.80583027743823,5.96096677408601,6.04580953439271,6.13297810867874,6.21998333148128,6.31016409230655,6.40378004963514,6.49805756195133,6.59112308775049,6.68140015557284
